2026-03-18 15:36:15 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-18 15:36:15 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-18 15:38:46 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.002060  |  psnr: 47.262494  |  ssim: 0.979442
2026-03-18 15:38:46 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.001417  |  psnr: 51.098143  |  ssim: 0.991118
2026-03-18 15:46:45 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.002199  |  psnr: 46.753668  |  ssim: 0.976625
2026-03-18 15:46:45 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.001662  |  psnr: 49.001336  |  ssim: 0.988001
2026-03-18 15:49:31 | INFO     | srcnn_training | Epoch 0021 [TRAIN]  |  loss: 0.002164  |  psnr: 46.383414  |  ssim: 0.977161
2026-03-18 15:49:31 | INFO     | srcnn_training | Epoch 0021 [VAL]  |  loss: 0.001326  |  psnr: 51.900710  |  ssim: 0.992044
2026-03-18 16:02:10 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.002293  |  psnr: 46.320068  |  ssim: 0.975638
2026-03-18 16:02:10 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.001650  |  psnr: 49.821252  |  ssim: 0.988286
2026-03-18 16:05:44 | INFO     | srcnn_training | Epoch 0040 [TRAIN]  |  loss: 0.002045  |  psnr: 47.138235  |  ssim: 0.979084
2026-03-18 16:05:44 | INFO     | srcnn_training | Epoch 0040 [VAL]  |  loss: 0.001737  |  psnr: 48.793510  |  ssim: 0.987111
2026-03-18 16:10:00 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:10:00 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:18:39 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:18:39 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:28:44 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:28:44 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:38:51 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:38:51 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:43:47 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:43:47 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:51:10 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.154645  |  psnr: 40.041283  |  ssim: 0.802494
2026-03-18 19:51:10 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001768  |  psnr: 48.613912  |  ssim: 0.987121
2026-03-18 19:51:32 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002021  |  psnr: 47.562317  |  ssim: 0.980030
2026-03-18 19:51:32 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001568  |  psnr: 49.567702  |  ssim: 0.989187
2026-03-18 19:52:34 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-18 19:52:34 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-18 19:59:50 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.002060  |  psnr: 47.262494  |  ssim: 0.979442
2026-03-18 19:59:50 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.001417  |  psnr: 51.098143  |  ssim: 0.991118
2026-03-18 20:13:15 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.002199  |  psnr: 46.753668  |  ssim: 0.976625
2026-03-18 20:13:15 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.001662  |  psnr: 49.001336  |  ssim: 0.988001
2026-03-18 20:13:32 | INFO     | srcnn_training | Epoch 0021 [TRAIN]  |  loss: 0.002164  |  psnr: 46.383414  |  ssim: 0.977161
2026-03-18 20:13:32 | INFO     | srcnn_training | Epoch 0021 [VAL]  |  loss: 0.001326  |  psnr: 51.900710  |  ssim: 0.992044
2026-03-18 20:21:47 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.002293  |  psnr: 46.320068  |  ssim: 0.975638
2026-03-18 20:21:47 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.001650  |  psnr: 49.821252  |  ssim: 0.988286
2026-03-18 20:26:05 | INFO     | srcnn_training | Epoch 0040 [TRAIN]  |  loss: 0.002045  |  psnr: 47.138235  |  ssim: 0.979084
2026-03-18 20:26:05 | INFO     | srcnn_training | Epoch 0040 [VAL]  |  loss: 0.001737  |  psnr: 48.793510  |  ssim: 0.987111
2026-03-19 12:39:16 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.121828  |  psnr: 23.537486  |  ssim: 0.736818
2026-03-19 12:39:16 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.030349  |  psnr: 24.520061  |  ssim: 0.700238
2026-03-19 12:39:26 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.024846  |  psnr: 26.207049  |  ssim: 0.756659
2026-03-19 12:39:26 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.029206  |  psnr: 24.542244  |  ssim: 0.715612
2026-03-19 12:39:36 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.025262  |  psnr: 25.508479  |  ssim: 0.751733
